key,day_of_month,avg_units,avg_values,num_observations
Amazon_ACLH4N,20,95.88888888888889,16658.148955555556,9
Amazon_ACLH4N,21,99.22222222222223,17274.57988888889,9
Amazon_ACLH4N,22,156.11111111111111,27212.56128888889,9
Amazon_ACLH4N,23,118.25,20591.22555,8
Amazon_ACLH4N,24,101.0,17622.951975,8
Amazon_ACLH4N,25,91.5,15926.618274999999,8
Amazon_ACLH4N,26,91.0,15839.8809,8
Amazon_ACLH4N,27,168.77777777777777,29314.449388888883,9
Amazon_ACLH4N,28,148.55555555555554,25813.567755555552,9
Amazon_ACLH4N,29,133.33333333333334,23177.6724,9
Amazon_ACLH4N,30,133.55555555555554,23235.3134,9
Amazon_ACLH4N,31,119.8,20782.25408,5
Amazon_ACRO3,1,519.9583333333334,75694.58136228814,24
Amazon_ACRO3,2,664.68,97741.60633694915,25
Amazon_ACRO3,3,571.88,84118.91249694915,25
Amazon_ACRO3,4,665.12,95666.35045762712,25
Amazon_ACRO3,5,580.32,84168.17212745763,25
Amazon_ACRO3,6,516.0,75188.71688067797,25
Amazon_ACRO3,7,635.04,92186.51045559322,25
Amazon_ACRO3,8,578.88,83314.52023728815,25
Amazon_ACRO3,9,571.6,83740.73296881357,25
Amazon_ACRO3,10,417.88,61157.233771525425,25
Amazon_ACRO3,11,342.08,49835.070951864414,25
Amazon_ACRO3,12,362.52,52994.10930033899,25
Amazon_ACRO3,13,364.88,52904.29889220339,25
Amazon_ACRO3,14,392.16,56948.94409559322,25
Amazon_ACRO3,15,507.24,74078.58739694915,25
Amazon_ACRO3,16,453.0,66681.82231050848,25
Amazon_ACRO3,17,416.72,61193.50144440678,25
Amazon_ACRO3,18,394.88,58015.42177064407,25
Amazon_ACRO3,19,402.28,59367.19271186441,25
Amazon_ACRO3,20,492.92,72867.64561037289,25
Amazon_ACRO3,21,402.64,59393.67425376272,25
Amazon_ACRO3,22,432.56,63477.22857538983,25
Amazon_ACRO3,23,283.8333333333333,42058.48108163842,24
Amazon_ACRO3,24,281.1666666666667,41527.797277330515,24
Amazon_ACRO3,25,385.5833333333333,57226.7798079096,24
Amazon_ACRO3,26,406.4166666666667,60168.945493644074,24
Amazon_ACRO3,27,476.64,70008.37379186442,25
Amazon_ACRO3,28,506.88,74286.40413491525,25
Amazon_ACRO3,29,448.1666666666667,65951.54148446328,24
Amazon_ACRO3,30,504.60869565217394,74669.89563154017,23
Amazon_ACRO3,31,326.46666666666664,47230.466352542375,15
Amazon_ACRO95,1,140.66666666666666,30334.59116899718,24
Amazon_ACRO95,2,143.16,30754.35292427119,25
Amazon_ACRO95,3,165.48,35682.62948271187,25
Amazon_ACRO95,4,196.36,42146.4161499661,25
Amazon_ACRO95,5,158.4,33824.979349355934,25
Amazon_ACRO95,6,160.16,34090.02257172882,25
Amazon_ACRO95,7,158.04,33809.65295261017,25
Amazon_ACRO95,8,158.92,34091.45232623729,25
Amazon_ACRO95,9,152.52,32624.401474576272,25
Amazon_ACRO95,10,159.48,34001.73541444068,25
Amazon_ACRO95,11,125.32,26791.674595932207,25
Amazon_ACRO95,12,98.24,21035.75927186441,25
Amazon_ACRO95,13,137.32,29487.215218983052,25
Amazon_ACRO95,14,133.44,28561.60817423729,25
Amazon_ACRO95,15,143.8,30547.8195620339,25
Amazon_ACRO95,16,121.28,25912.303551186444,25
